,name,year,genre,country,duration,age_limit,budget,director,rating
0,Человек-паук: Нет пути домой (2021),2021,боевик,США,150,12 +,null,Джон Уоттс,8.2
1,Выживший (2015),2015,драма,США,156,18 +,135000000,Алехандро Гонсалес Иньярриту,8.0
2,Джентльмены (2019),2019,комедия,США,113,18 +,22000000,Гай Ричи,7.8
3,Гнев человеческий (2021),2021,триллер,США,118,18 +,null,Гай Ричи,7.1
4,Солнцепек (2021),2021,драма,Россия,null,18 +,null,null,4.6
6,1+1 (2011),2011,драма,Франция,112,16 +,null,null,8.5
7,Веном 2 (2021),2021,триллер,США,90,16 +,null,Энди Серкис,5.9
8,Зеленая книга (2018),2018,драма,США,130,18 +,null,Питер Фаррелли,8.2
9,Фантастические твари и где они обитают (2016),2016,приключения,США,133,12 +,180000000,Дэвид Йейтс,7.2
10,Марсианин (2015),2015,приключения,США,144,16 +,108000000,Ридли Скотт,8.0
11,Лига справедливости Зака Снайдера (2021),2021,боевик,США,240,18 +,null,Зак Снайдер,7.9
12,Небо (2021),2021,драма,Россия,110,12 +,null,Игорь Копылов,5.8
13,Достать ножи (2019),2019,драма,США,130,16 +,null,Райан Джонсон,7.9
14,Мстители: Финал (2019),2019,боевик,США,182,16 +,null,null,8.4
16,Собачья жизнь 2 (2019),2019,драма,США,109,6 +,null,Гейл Манкусо,7.4
17,Мстители: Война бесконечности (2018),2018,боевик,США,149,16 +,null,null,8.4
18,Движение вверх (2017),2017,драма,Россия,133,6 +,null,Антон Мегердичев,6.6
19,Тор: Рагнарек (2017),2017,боевик,США,130,16 +,180000000,Тайка Вайтити,7.9
20,До встречи с тобой (2016),2016,драма,США,110,16 +,20000000,Теа Шэррок,7.4
21,Доктор Стрэндж (2016),2016,боевик,США,115,16 +,165000000,Скотт Дерриксон,7.5
22,Век Адалин (2015),2015,драма,США,112,12 +,25000000,Ли Толанд Кригер,7.2
23,Мстители: Эра Альтрона (2015),2015,боевик,США,141,12 +,250000000,Джосс Уидон,7.3
24,Форсаж 7 (2015),2015,триллер,США,137,16 +,190000000,Джеймс Ван,7.1
25,Зеленая миля (1999),1999,драма,США,189,18 +,60000000,Фрэнк Дарабонт,8.6
26,Побег из Шоушенка (1994),1994,драма,США,142,16 +,25000000,Фрэнк Дарабонт,9.3
27,Огонь (2020),2020,драма,Россия,131,6 +,null,Алексей Нужный,6.5
28,Ford против Ferrari (2019),2019,драма,США,152,16 +,null,Джеймс Мэнголд,8.1
29,Джокер (2019),2019,драма,США,121,18 +,55000000,Тодд Филлипс,8.3
30,Богемская рапсодия (2018),2018,драма,США,134,18 +,null,null,7.9
31,Ветреная река (2017),2017,триллер,США,107,18 +,11000000,Тейлор Шеридан,7.7
32,Время первых (2017),2017,триллер,Россия,140,6 +,null,Дмитрий Киселев,7.2
33,Джон Уик 2 (2017),2017,триллер,США,122,18 +,40000000,Чад Стахелски,7.4
34,Логан (2017),2017,драма,США,141,18 +,97000000,Джеймс Мэнголд,8.1
35,Последний богатырь (2017),2017,комедия,Россия,98,12 +,8250000,Дмитрий Дьяченко,6.4
36,Стражи Галактики. Часть 2 (2017),2017,комедия,США,136,16 +,200000000,Джеймс Ганн,7.6
37,28 панфиловцев (2016),2016,драма,Россия,122,12 +,1700000,null,6.7
38,Землетрясение (2016),2016,драма,Россия,102,12 +,null,Сарик Андреасян,6.6
39,Иллюзия обмана 2 (2016),2016,комедия,США,129,18 +,90000000,Джон М. Чу,6.4
40,Первый мститель: Противостояние (2016),2016,боевик,США,147,16 +,250000000,null,7.8
41,Битва за Севастополь (2015),2015,мелодрама,Россия,118,12 +,null,Сергей Мокрицкий,7.0
42,Левша (2015),2015,драма,США,124,16 +,30000000,Антуан Фукуа,7.3
43,Фокус (2015),2015,драма,США,104,18 +,50100000,null,6.6
44,Хоббит: Битва пяти воинств (2014),2014,приключения,США,144,6 +,250000000,Питер Джексон,7.4
45,Хоббит: Нежданное путешествие (2012),2012,приключения,США,166,12 +,180000000,Питер Джексон,7.8
46,Гарри Поттер и Дары Смерти: Часть II (2011),2011,драма,США,130,12 +,125000000,Дэвид Йейтс,8.1
47,Области тьмы (2011),2011,триллер,США,105,18 +,27000000,Нил Бергер,7.4
48,Гарри Поттер и Дары Смерти: Часть I (2010),2010,драма,США,146,16 +,null,Дэвид Йейтс,7.7
49,Остров проклятых (2010),2010,драма,США,138,18 +,80000000,Мартин Скорсезе,8.2
50,Кентавр (2023),2023,драма,Россия,101,16 +,null,Кирилл Кемниц,6.9
51,Чебурашка (2023),2023,комедия,Россия,120,6 +,null,Дмитрий Дьяченко,5.7
52,Дюна (2021),2021,драма,США,155,12 +,null,Дени Вильнев,8.0
53,Пальма (2021),2021,драма,Россия,110,6 +,null,Александр Домогаров-мл.,6.9
54,Аквамен (2018),2018,боевик,США,143,12 +,160000000,Джеймс Ван,6.8
55,Первому игроку приготовиться (2018),2018,триллер,США,140,12 +,null,Стивен Спилберг,7.4
56,Фантастические твари: Преступления Грин-де-Вальда (2018),2018,приключения,США,134,12 +,null,Дэвид Йейтс,6.5
57,Аритмия (2017),2017,драма,Россия,116,18 +,null,Борис Хлебников,7.4
58,Пираты Карибского моря: Мертвецы не рассказывают сказки (2017),2017,комедия,США,129,16 +,230000000,null,6.5
59,Салют-7 (2017),2017,драма,Россия,111,12 +,null,Клим Шипенко,7.2
60,Человек-паук: Возвращение домой (2017),2017,боевик,США,133,16 +,175000000,Джон Уоттс,7.4
61,Варкрафт (2016),2016,боевик,США,123,12 +,160000000,Дункан Джонс,6.7
62,Зверополис (2016),2016,комедия,США,108,6 +,150000000,null,8.0
63,Отряд самоубийц (2016),2016,комедия,США,118,16 +,175000000,Дэвид Эйр,5.9
64,Пассажиры (2016),2016,драма,США,116,16 +,110000000,Мортен Тильдум,7.0
65,Поезд в Пусан (2016),2016,триллер,Южная Корея,118,16 +,182000,Ен Сан-хо,7.6
66,По соображениям совести (2016),2016,драма,США,139,18 +,40000000,Мэл Гибсон,8.1
67,Безумный Макс: Дорога ярости (2015),2015,боевик,США,120,16 +,150000000,Джордж Миллер,8.1
68,Головоломка (2015),2015,комедия,США,94,6 +,175000000,null,8.1
69,Мир Юрского периода (2015),2015,боевик,США,125,12 +,150000000,Колин Треворроу,6.9
70,Робот по имени Чаппи (2015),2015,триллер,США,120,16 +,49000000,Нил Бломкамп,6.8
71,Стажер (2015),2015,драма,США,121,16 +,35000000,Нэнси Майерс,7.1
72,Грань будущего (2014),2014,боевик,США,113,12 +,178000000,Даг Лайман,7.9
73,Интерстеллар (2014),2014,драма,США,169,12 +,165000000,Кристофер Нолан,8.7
74,Иллюзия обмана (2013),2013,триллер,США,115,16 +,75000000,Луи Летерье,7.2
75,Легенда №17 (2013),2013,драма,Россия,134,6 +,null,Николай Лебедев,7.4
76,Хоббит: Пустошь Смауга (2013),2013,приключения,США,161,12 +,225000000,Питер Джексон,7.8
77,Начало (2010),2010,триллер,США,148,12 +,160000000,Кристофер Нолан,8.8
78,Хатико: Самый верный друг (2009),2009,драма,США,89,0 +,16000000,Лассе Халльстрем,8.1
79,Последний богатырь: Посланник Тьмы (2021),2021,комедия,Россия,108,6 +,null,Дмитрий Дьяченко,5.5
80,Подольские курсанты (2020),2020,драма,Россия,130,12 +,null,Вадим Шмелев,6.5
82,Невероятный мир глазами Энцо (2019),2019,драма,США,109,12 +,null,Саймон Кертис,7.6
83,Веном (2018),2018,триллер,США,112,16 +,100000000,Рубен Фляйшер,6.6
84,Собачья жизнь (2017),2017,драма,США,100,6 +,22000000,Лассе Халльстрем,7.3
85,Лев (2016),2016,драма,США,118,16 +,12000000,Гарт Дэвис,8.0
86,Люди Икс: Апокалипсис (2016),2016,боевик,США,143,12 +,178000000,Брайан Сингер,6.8
87,Сплит (2016),2016,триллер,США,117,16 +,9000000,М. Найт Шьямалан,7.3
88,Экипаж (2016),2016,драма,Россия,138,6 +,null,Николай Лебедев,6.6
89,Вторая жизнь Уве (2015),2015,драма,Дания,116,16 +,null,Ханнес Холм,7.7
90,Легенда (2015),2015,драма,Великобритания,131,18 +,null,Брайан Хелгеленд,6.9
91,Монстры на каникулах 2 (2015),2015,комедия,США,89,6 +,80000000,Генндий Тартаковский,6.6
92,Он — дракон (2015),2015,мелодрама,Россия,105,12 +,null,Индар Джендубаев,6.8
93,Человек-муравей (2015),2015,комедия,США,117,12 +,130000000,Пейтон Рид,7.2
94,Шпион (2015),2015,комедия,США,120,18 +,65000000,Пол Фиг,7.0
95,Эверест (2015),2015,драма,США,121,12 +,55000000,Бальтасар Кормакур,7.1
96,Виноваты звезды (2014),2014,драма,США,125,12 +,12000000,Джош Бун,7.6
97,Стражи Галактики (2014),2014,боевик,США,121,12 +,170000000,Джеймс Ганн,8.0
98,Железный человек 3 (2013),2013,триллер,США,131,12 +,200000000,Шейн Блэк,7.1
99,Лучшее предложение (2013),2013,драма,Италия,124,16 +,null,Джузеппе Торнаторе,7.8
100,Мстители (2012),2012,боевик,США,143,16 +,220000000,Джосс Уидон,8.0
101,Пираты Карибского моря: На странных берегах (2011),2011,комедия,США,136,12 +,250000000,Роб Маршалл,6.6
102,Шерлок Холмс: Игра теней (2011),2011,комедия,США,129,16 +,125000000,Гай Ричи,7.4
103,Брестская крепость (2010),2010,драма,Россия,131,16 +,null,Александр Котт,7.4
104,Гарри Поттер и Орден Феникса (2007),2007,боевик,США,138,12 +,150000000,Дэвид Йейтс,7.5
105,Гарри Поттер и узник Азкабана (2004),2004,приключения,США,141,12 +,130000000,Альфонсо Куарон,7.9
106,Пираты Карибского моря: Проклятие Черной жемчужины (2003),2003,боевик,США,143,16 +,140000000,Гор Вербински,8.1
107,Гарри Поттер и Тайная комната (2002),2002,приключения,США,161,12 +,100000000,Крис Коламбус,7.5
108,Гарри Поттер и философский камень (2001),2001,приключения,США,152,12 +,125000000,Крис Коламбус,7.7
109,Гладиатор (2000),2000,драма,США,155,16 +,103000000,Ридли Скотт,8.5
110,Ворошиловский стрелок (1999),1999,драма,Россия,95,16 +,null,Станислав Говорухин,7.4
111,Брат (1997),1997,драма,Россия,100,18 +,null,Алексей Балабанов,7.8
112,Титаник (1997),1997,драма,США,194,12 +,200000000,Джеймс Кэмерон,7.9
113,Леон (1994),1994,драма,Франция,110,16 +,null,Люк Бессон,8.5
114,Форрест Гамп (1994),1994,драма,США,142,16 +,55000000,Роберт Земекис,8.8
115,Привидение (1990),1990,драма,США,127,0 +,22000000,Джерри Цукер,7.1
116,Укрощение строптивого (1980),1980,комедия,Италия,104,16 +,null,null,7.6
117,Мужское слово (2024),2024,драма,Россия,100,16 +,null,Сарик Андреасян,6.4
118,Батя (2021),2021,комедия,Россия,75,16 +,null,Дмитрий Ефимович,6.7
119,Летчик (2021),2021,драма,Россия,107,12 +,null,Ренат Давлетьяров,6.2
120,Майор Гром: Чумной Доктор (2021),2021,боевик,Россия,120,12 +,null,Олег Трофим,6.3
121,После. Глава 3 (2021),2021,драма,США,99,18 +,null,Кастилло Лэндон,4.8
122,После. Глава 2 (2020),2020,драма,США,105,16 +,null,Роджер Камбл,5.1
123,В метре друг от друга (2019),2019,мелодрама,США,116,16 +,null,Джастин Бальдони,7.2
124,Джон Уик 3 (2019),2019,триллер,США,130,18 +,null,Чад Стахелски,7.4
125,Лев Яшин. Вратарь моей мечты (2019),2019,биография,Россия,116,6 +,null,Василий Чигинский,6.3
126,Люби их всех (2019),2019,драма,Россия,100,18 +,null,Мария Агранович,5.9
127,После (2019),2019,драма,США,105,16 +,null,Дженни Гейдж,5.3
128,Дэдпул 2 (2018),2018,комедия,США,119,18 +,null,Дэвид Литч,7.6
129,Жена смотрителя зоопарка (2017),2017,драма,США,124,18 +,null,Ники Каро,7.0
130,Телохранитель киллера (2017),2017,комедия,США,118,16 +,30000000,Патрик Хьюз,6.9
131,Дом странных детей мисс Перегрин (2016),2016,драма,США,127,16 +,110000000,Тим Бертон,6.7
132,Дэдпул (2016),2016,комедия,США,108,18 +,58000000,Тим Миллер,8.0
133,Монах и бес (2016),2016,комедия,Россия,114,12 +,null,Николай Досталь,6.8
